Name,URL,Description,Batch
Outerport,https://www.ycombinator.com/companies/outerport,Enterprise registry for foundation model weights,S24
Syntra,https://www.ycombinator.com/companies/syntra,Personalized and Automated Electronic Health Records (EHRs).,S24
Standard Data,https://www.ycombinator.com/companies/standard-data,Automating Manufacturing Processes Using AI,S24
Kairo Health,https://www.ycombinator.com/companies/kairo-health,The AI healthcare workforce,S24
Midship,https://www.ycombinator.com/companies/midship,Extract documents straight to your spreadsheets,S24
Soma Lab,https://www.ycombinator.com/companies/soma-lab,AI-based simulation medicine.,S24
Merlin AI,https://www.ycombinator.com/companies/merlin-ai,AI powered ERP for Construction,S24
Freestyle,https://www.ycombinator.com/companies/freestyle,Build exceptional infrastructure with just JavaScript.,S24
Arva AI,https://www.ycombinator.com/companies/arva-ai,AI agents for instant KYB onboarding,S24
Affil.ai,https://www.ycombinator.com/companies/affil-ai,AI Affiliate Marketer,S24
OrgOrg,https://www.ycombinator.com/companies/orgorg,Organizational productivity suite for companies,S24
Patched,https://www.ycombinator.com/companies/patched,Open-source framework to accelerate development tasks with AI,S24
Mica AI,https://www.ycombinator.com/companies/mica-ai,"Turn Sales Calls into Personalized, Deal-Closing Landing Pages",S24
Formula Insight,https://www.ycombinator.com/companies/formula-insight,Helping hedge funds expedite spreadsheet analysis,S24
Overlap,https://www.ycombinator.com/companies/overlap,A new podcast app that uses AI to curate the best moments for you.,S24
Kart AI,https://www.ycombinator.com/companies/kart-ai,Building personalized search for electronic products,S24
Anglera,https://www.ycombinator.com/companies/anglera,Universal API for E-Commerce Data,S24
XTraffic,https://www.ycombinator.com/companies/xtraffic,Technology for cities to automate and manage their traffic lights.,S24
Felafax,https://www.ycombinator.com/companies/felafax,Expanding AI Infra beyond NVIDIA,S24
Henry,https://www.ycombinator.com/companies/henry-2,Generative AI for Commercial Real Estate Professionals,S24
RowBoat Labs,https://www.ycombinator.com/companies/rowboat-labs,LLM Agents for Customer Support,S24
Pipeshift AI,https://www.ycombinator.com/companies/pipeshift-ai,Fine-tuning and Inferencing for Open-source LLMs.,S24
Vera Health,https://www.ycombinator.com/companies/vera-health,Providing AI agents to healthcare companies,S24
Pharos,https://www.ycombinator.com/companies/pharos,🏥 Prevent avoidable patient harm with AI,S24
Affix API,https://www.ycombinator.com/companies/affix-api,API for data migrations for HR/Payroll companies,S24
Terra,https://www.ycombinator.com/companies/terra-2,"Terra simplifies product design, manufacturing, and sourcing for SMBs",S24
"Diode Computers, Inc.",https://www.ycombinator.com/companies/diode-computers-inc,Automate Hardware Engineering using AI,S24
"SureBright Technologies, Inc.",https://www.ycombinator.com/companies/surebright-technologies-inc,We embed product warranties in consumer purchase journey.,S24
Usul,https://www.ycombinator.com/companies/usul,AI Insights for Defense Contractors,S24
Saldor,https://www.ycombinator.com/companies/saldor,Saldor extracts the best web data for LLMs.,S24
Bucket Robotics,https://www.ycombinator.com/companies/bucket-robotics,Robotic Vision for Manufacturing,S24
Oway,https://www.ycombinator.com/companies/oway,Ridesharing freight with ML to cut SMB shipping costs by 50%,S24
Elayne,https://www.ycombinator.com/companies/elayne,Support your workforce beyond Bereavement Leave,S24
Mindely,https://www.ycombinator.com/companies/mindely,The first GenAI interviewer conducting complex business interviews,S24
TradeFlow,https://www.ycombinator.com/companies/tradeflow,We build AI software to automate stock trade settlement.,S24
Voker,https://www.ycombinator.com/companies/voker,AI Developer Platform for SMBs,S24
Rastro,https://www.ycombinator.com/companies/rastro,Your personal interior designer.,S24
Quetzal,https://www.ycombinator.com/companies/quetzal,"Simple, LLM-first translation and internationalization for software",S24
Weavel,https://www.ycombinator.com/companies/weavel,Performance analytics &amp; testing for LLM applications  🔍,S24
Moreta,https://www.ycombinator.com/companies/moreta,Payments made easy for international travelers.,S24
Simplifine,https://www.ycombinator.com/companies/simplifine,AI-powered workspace for research,S24
Sepal AI,https://www.ycombinator.com/companies/sepal-ai,The data development platform for LLM users and builders.,S24
Assembly HOA,https://www.ycombinator.com/companies/assembly-hoa,Tech-enabled HOA management,S24
autarc,https://www.ycombinator.com/companies/autarc,autarc is the OS for HVAC installers to install more heat pumps,S24
omnidock,https://www.ycombinator.com/companies/omnidock,Sell on all eCommerce marketplaces,S24
Polymet,https://www.ycombinator.com/companies/polymet,An AI that can design and code,S24
Kontigo,https://www.ycombinator.com/companies/kontigo,USDC-neobank for Latinos. (With a Bitcoin Piggy bank).,S24
Remo,https://www.ycombinator.com/companies/remo,Enhance your compliance team with AI,S24
Propaya,https://www.ycombinator.com/companies/propaya,Simplifying and Automating Property Management,S24
Vendra,https://www.ycombinator.com/companies/vendra,AI vendor and project management for hardware teams,S24
Argil,https://www.ycombinator.com/companies/argil,The video generation engine for the creator economy,S24
ZeroPath,https://www.ycombinator.com/companies/zeropath,"Automatically find, verify, and fix web app vulnerabilities",S24
Actionbase,https://www.ycombinator.com/companies/actionbase,Making the web agent-interpretable.,S24
Corpdaq,https://www.ycombinator.com/companies/corpdaq,AI-powered financial simulator and financing marketplace,S24
Lumen Orbit,https://www.ycombinator.com/companies/lumen-orbit,Data centers in space,S24
Dataleap,https://www.ycombinator.com/companies/dataleap,AI Market Intelligence Platform for Corporate Strategy &amp; Consulting,S24
Zimi,https://www.ycombinator.com/companies/zimi,Amazon-like fulfillment for exporters in emerging markets,S24
Thyme,https://www.ycombinator.com/companies/thyme,Meeting intelligence for financial advisors.,S24
Ionworks,https://www.ycombinator.com/companies/ionworks,Build and run battery simulations at scale,S24
Zigma - by NextUI,https://www.ycombinator.com/companies/zigma-by-nextui,Open-source design system creation &amp; management platform.,S24
Helium,https://www.ycombinator.com/companies/helium,Run paywall experiments without code,S24
&amp;AI,https://www.ycombinator.com/companies/ai-2,AI-powered patent due diligence,S24
Haystack Software,https://www.ycombinator.com/companies/haystack-software,A code editor that makes navigation and refactoring 10x faster,S24
Finosu,https://www.ycombinator.com/companies/finosu,Compliance automation for the credit industry,S24
Odo,https://www.ycombinator.com/companies/odo,Helping businesses find and win government contracts,S24
Baseline AI,https://www.ycombinator.com/companies/baseline-ai,Intelligent error checks for clinical trial data,S24
Zephr,https://www.ycombinator.com/companies/zephr,AI customer success manager,S24
Winford AI,https://www.ycombinator.com/companies/winford-ai,AI-Powered Software for Institutional Credit Investors,S24
Cartage,https://www.ycombinator.com/companies/cartage,Autonomous freight operations,S24
Paasa,https://www.ycombinator.com/companies/paasa,Invest in US markets from emerging economies,S24
Lilac Labs,https://www.ycombinator.com/companies/lilac-labs,We automate the person taking orders at drive-thrus with a voice AI,S24
Palmier,https://www.ycombinator.com/companies/palmier,Palmier is an AI that understands any codebase,S24
Simple AI,https://www.ycombinator.com/companies/simple-ai,A better Siri,S24
Guardian RF,https://www.ycombinator.com/companies/guardian-rf,UAV detection.,S24
Laminar AI,https://www.ycombinator.com/companies/laminar-ai,Developer platform to ship reliable LLM agents 10x faster.,S24
Cerulion,https://www.ycombinator.com/companies/cerulion,Cross-platform robot middleware with no-code GUI,S24
The Forecasting Company,https://www.ycombinator.com/companies/the-forecasting-company,New foundation models for time series,S24
Praxos,https://www.ycombinator.com/companies/praxos,Workbench for Insurance Professionals,S24
Exa Laboratories,https://www.ycombinator.com/companies/exa-laboratories,Energy-efficient reconfigurable chips for AI,S24
SchemeFlow,https://www.ycombinator.com/companies/schemeflow,Automate the technical reports required for construction projects.,S24
Brighterway,https://www.ycombinator.com/companies/brighterway,Automating the workers-compensation claims review process,S24
Mineflow,https://www.ycombinator.com/companies/mineflow,Mineflow predicts the shape and location of mineral deposits,S24
Soff,https://www.ycombinator.com/companies/soff,Automating manufacturing supply chains.,S24
Parley,https://www.ycombinator.com/companies/parley,Automating visa applications,S24
Intryc,https://www.ycombinator.com/companies/intryc,Intryc uses AI to automate quality assurance for customer support,S24
Ember Robotics,https://www.ycombinator.com/companies/ember-robotics,Camera diagnostics for robots,S24
Thunder Compute,https://www.ycombinator.com/companies/thunder-compute,Cloud Computing Technology to virtualize GPUs over TCP.,S24
Zeit AI,https://www.ycombinator.com/companies/zeit-ai,Insights from tabular data in just a few words.,S24
Remade,https://www.ycombinator.com/companies/remade,Generative AI Product Photography for Businesses,S24
Distro,https://www.ycombinator.com/companies/distro,The AI co-pilot for sales reps at industrial wholesale distributors.,S24
